City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Obertyn,UA,48.7003,25.1701,54.25,61,13,7.0,few clouds
1,Albany,US,42.6001,-73.9662,92.23,43,98,5.64,overcast clouds
2,Kapaa,US,22.0752,-159.319,82.38,79,100,13.8,light rain
3,Kindu,CD,-2.95,25.95,78.69,52,100,2.39,overcast clouds
4,Algiers,DZ,36.7525,3.042,76.82,78,20,9.22,few clouds
5,Ushuaia,AR,-54.8,-68.3,38.86,56,40,4.61,scattered clouds
6,New Norfolk,AU,-42.7826,147.0587,38.7,78,92,4.0,overcast clouds
7,Kavieng,PG,-2.5744,150.7967,81.91,80,45,13.11,light rain
8,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,26.46,clear sky
9,Cape Town,ZA,-33.9258,18.4232,59.41,88,40,11.5,scattered clouds
10,Vaini,TO,-21.2,-175.2,73.56,94,40,8.05,scattered clouds
11,Mount Isa,AU,-20.7333,139.5,47.97,76,2,0.0,clear sky
12,Wuwei,CN,37.9281,102.6414,67.06,50,100,4.05,overcast clouds
13,Bluff,NZ,-46.6,168.3333,51.8,61,100,22.88,overcast clouds
14,Tuatapere,NZ,-46.1333,167.6833,55.13,61,86,15.35,light rain
15,Seoul,KR,37.5683,126.9778,74.77,88,20,2.3,mist
16,Tarpon Springs,US,28.1461,-82.7568,88.0,79,0,7.0,clear sky
17,Hermanus,ZA,-34.4187,19.2345,55.8,83,0,9.1,clear sky
18,Manta,EC,-0.95,-80.7333,76.78,78,75,11.5,broken clouds
19,Capoterra,IT,39.1763,8.9718,91.11,66,0,6.91,clear sky
20,Butaritari,KI,3.0707,172.7902,82.02,73,96,10.71,overcast clouds
21,Sao Filipe,CV,14.8961,-24.4956,75.42,79,61,14.81,broken clouds
22,Saskylakh,RU,71.9167,114.0833,47.39,55,96,7.16,overcast clouds
23,Jumla,NP,29.2747,82.1838,62.94,93,68,1.97,broken clouds
24,Upernavik,GL,72.7868,-56.1549,41.27,85,39,15.17,scattered clouds
25,Falam,MM,22.9167,93.6833,63.7,98,93,3.49,overcast clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,59.95,40,0,21.85,clear sky
27,Victoria,HK,22.2855,114.1577,86.38,82,100,11.01,overcast clouds
28,Port Macquarie,AU,-31.4333,152.9167,51.89,79,2,8.08,clear sky
29,Souillac,MU,-20.5167,57.5167,70.18,56,20,19.57,light rain
30,Tazovskiy,RU,67.4667,78.7,51.75,77,100,6.11,overcast clouds
31,Cookeville,US,36.1628,-85.5016,89.31,63,40,4.61,scattered clouds
32,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,88,75,8.05,broken clouds
33,Otaru,JP,43.1894,141.0022,67.03,94,100,6.69,overcast clouds
34,Olafsvik,IS,64.8945,-23.7142,51.21,84,90,5.28,overcast clouds
35,Richards Bay,ZA,-28.783,32.0377,66.2,84,0,11.01,clear sky
36,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,82.35,32,32,10.94,scattered clouds
37,Byron Bay,AU,-28.65,153.6167,56.71,75,15,9.84,few clouds
38,Nikolskoye,RU,59.7035,30.7861,58.91,95,100,4.74,overcast clouds
39,Port-Gentil,GA,-0.7193,8.7815,75.16,83,40,9.22,scattered clouds
40,Lasa,IT,46.6166,10.7002,77.88,78,2,2.86,clear sky
41,Severo-Kurilsk,RU,50.6789,156.125,54.41,95,99,1.57,overcast clouds
42,Rikitea,PF,-23.1203,-134.9692,73.47,82,79,15.7,moderate rain
43,Bonito,BR,-21.1211,-56.4819,66.24,50,100,4.97,light rain
44,Cabo San Lucas,MX,22.8909,-109.9124,93.61,23,0,10.36,clear sky
45,Bredasdorp,ZA,-34.5322,20.0403,54.3,87,0,4.76,clear sky
46,Qaanaaq,GL,77.484,-69.3632,47.08,58,100,3.96,overcast clouds
47,Carnarvon,AU,-24.8667,113.6333,59.07,100,40,4.61,scattered clouds
48,New Smyrna Beach,US,29.0258,-80.927,91.18,76,43,11.56,scattered clouds
49,Bestobe,KZ,52.4994,73.0975,63.7,60,70,5.77,broken clouds
50,Santa Rosa,PH,14.3122,121.1114,78.78,95,91,1.05,overcast clouds
51,Krasnoselkup,RU,65.7,82.4667,51.82,82,19,10.33,few clouds
52,Manaure,CO,11.7751,-72.4445,90.46,52,100,18.75,overcast clouds
53,East London,ZA,-33.0153,27.9116,69.49,32,0,8.37,clear sky
54,Zhigansk,RU,66.7697,123.3711,53.58,71,99,10.6,overcast clouds
55,Neuquen,AR,-38.9516,-68.0591,53.49,50,75,9.22,broken clouds
56,Barrow,US,71.2906,-156.7887,37.42,87,100,17.27,overcast clouds
57,Manokwari,ID,-0.8667,134.0833,75.63,84,100,3.02,overcast clouds
58,Sovetskaya Gavan,RU,48.9723,140.2878,55.49,99,100,9.57,light rain
59,New Albany,US,38.2856,-85.8241,78.89,89,75,9.22,light rain
60,Faya,SA,18.3851,42.4509,69.91,41,28,4.72,scattered clouds
61,Cizre,TR,37.3272,42.1903,92.43,16,0,3.56,clear sky
62,Guerrero Negro,MX,27.9769,-114.0611,81.75,45,1,11.1,clear sky
63,Kushmurun,KZ,52.4503,64.6311,67.91,85,84,5.91,broken clouds
64,Lazarev,RU,52.225,141.5131,57.25,85,100,3.69,overcast clouds
65,Westport,US,41.1415,-73.3579,86.31,66,0,9.22,clear sky
66,Teya,RU,60.3778,92.6267,50.94,93,100,4.29,overcast clouds
67,Dikson,RU,73.5069,80.5464,44.13,79,7,8.9,clear sky
68,Sudak,UA,44.85,34.9667,72.61,75,3,8.9,clear sky
69,Roald,NO,62.5833,6.1333,59.92,88,75,14.97,broken clouds
70,Kahului,US,20.8947,-156.47,82.98,63,20,20.71,few clouds
71,Okhotsk,RU,59.3833,143.3,57.6,93,71,2.82,broken clouds
72,Tessalit,ML,20.1986,1.0114,88.21,38,100,5.91,light rain
73,Iberia,US,29.9502,-91.7507,95.99,53,70,4.41,broken clouds
74,Chuy,UY,-33.6971,-53.4616,49.6,70,0,8.75,clear sky
75,Japura,ID,-0.3167,102.35,75.02,93,43,1.48,scattered clouds
76,Stokmarknes,NO,68.5646,14.9108,51.76,87,100,1.14,overcast clouds
77,Kirensk,RU,57.7853,108.1119,54.37,95,95,0.49,overcast clouds
78,Busselton,AU,-33.65,115.3333,53.71,92,100,14.7,overcast clouds
79,Mataura,NZ,-46.1927,168.8643,51.48,75,97,8.41,overcast clouds
80,Margate,GB,51.3813,1.3862,70.88,69,31,1.99,scattered clouds
81,Shingu,JP,33.7333,135.9833,74.97,85,100,4.97,moderate rain
82,Nome,US,64.5011,-165.4064,56.1,58,20,9.22,few clouds
83,Nkowakowa,ZA,-23.8878,30.2871,58.05,70,16,3.65,few clouds
84,Grindavik,IS,63.8424,-22.4338,51.75,87,100,8.05,overcast clouds
85,Narsaq,GL,60.9167,-46.05,61.02,70,98,8.48,overcast clouds
86,Luderitz,NA,-26.6481,15.1594,64.22,52,1,5.7,clear sky
87,Ulaangom,MN,49.9811,92.0667,64.26,49,6,4.52,clear sky
88,Tasiilaq,GL,65.6145,-37.6368,50.16,79,63,6.02,broken clouds
89,Rorvik,NO,64.8621,11.2373,55.38,82,75,18.41,broken clouds
90,Ler,SS,8.3018,30.1418,75.4,77,99,1.05,overcast clouds
91,Yenagoa,NG,4.9247,6.2642,74.34,83,81,4.92,broken clouds
92,Bambous Virieux,MU,-20.3428,57.7575,70.05,56,20,19.57,light rain
93,Waterloo,CA,43.4668,-80.5164,84.47,44,75,12.66,broken clouds
94,Vieques,PR,18.425,-65.8329,88.84,66,40,20.71,haze
95,Balabac,PH,7.9868,117.0645,80.73,80,100,7.65,overcast clouds
96,Thompson,CA,55.7435,-97.8558,80.76,47,40,9.22,scattered clouds
97,Brigantine,US,39.4101,-74.3646,89.04,62,20,11.5,few clouds
98,Conceicao Do Araguaia,BR,-8.2578,-49.2647,95.59,20,6,6.22,clear sky
99,Quatre Cocos,MU,-20.2078,57.7625,69.91,67,70,21.21,light rain
100,Adrar,MR,20.5022,-10.0711,103.51,9,76,9.53,broken clouds
101,Hobart,AU,-42.8794,147.3294,39.06,84,40,17.27,scattered clouds
102,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,83,15.68,broken clouds
103,Yellowknife,CA,62.456,-114.3525,64.92,77,100,21.85,overcast clouds
104,Tepla,CZ,49.98,12.8643,68.09,43,70,4.07,broken clouds
105,Cherskiy,RU,68.75,161.3,37.98,57,97,14.9,overcast clouds
