City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Kavieng,PG,81.91,light rain,-2.5744,150.7967,Nusa Island Retreat
16,Tarpon Springs,US,88.0,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
20,Butaritari,KI,82.02,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
27,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
31,Cookeville,US,89.31,scattered clouds,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
36,Santa Catarina De Tepehuanes,MX,82.35,scattered clouds,25.35,-105.7333,hotel plaza
62,Guerrero Negro,MX,81.75,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
65,Westport,US,86.31,clear sky,41.1415,-73.3579,The Westport Inn
70,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
93,Waterloo,CA,84.47,broken clouds,43.4668,-80.5164,The Walper Hotel
94,Vieques,PR,88.84,haze,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
95,Balabac,PH,80.73,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
96,Thompson,CA,80.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
97,Brigantine,US,89.04,few clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
116,Saint-Ambroise,CA,83.57,overcast clouds,48.5501,-71.3324,Motel Saint-Ambroise
119,Sabang,ID,81.81,broken clouds,5.8933,95.3214,Hotel Citra
123,Shache,CN,80.71,clear sky,38.4167,77.2406,Delong Hotel
136,Dalbandin,PK,88.68,few clouds,28.8947,64.4101,Sanjrani House
143,Kavaratti,IN,82.45,overcast clouds,10.5669,72.642,Green leaf
155,Nador,MA,80.67,few clouds,35.174,-2.9287,Hôtel La Giralda
157,Pizarro,CO,81.03,overcast clouds,4.9533,-77.366,Hotel Limonar
172,Jalu,LY,84.81,clear sky,29.0331,21.5482,صاحبة الفخامة
183,Granby,CA,87.22,overcast clouds,45.4001,-72.7324,Hotel Le Principal (Granby)
187,Kumluca,TR,85.51,clear sky,36.3703,30.2869,Akkol Apart
189,Muros,ES,80.69,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
203,Hambantota,LK,80.15,overcast clouds,6.1241,81.1185,Bungalow 63
218,Najran,SA,86.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
219,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Pirineos
250,Trairi,BR,80.87,scattered clouds,-3.2778,-39.2689,janelas do mar
254,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
255,Hami,CN,80.55,clear sky,42.8,93.45,Laoyutang Resort
264,Kotri,PK,83.28,scattered clouds,25.366,68.3122,Drivers Running Room
277,Ajdabiya,LY,81.54,clear sky,30.7554,20.2263,Almadina Hotel
279,Villa De Reyes,MX,83.68,few clouds,21.8,-100.9333,HOTEL MARIA NATALIA
281,Mayo,US,87.13,clear sky,38.8876,-76.5119,Resorts Resource Group International
284,Makakilo City,US,81.01,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
300,Tomigusuku,JP,83.97,mist,26.185,127.675,Hotel Gran View Okinawa
304,Lazaro Cardenas,MX,86.61,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
308,Battipaglia,IT,81.99,scattered clouds,40.6109,14.9852,Hotel Palace
315,Pacifica,US,87.15,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
316,Santa Isabel Do Rio Negro,BR,86.81,broken clouds,-0.4139,-65.0192,Hotel GSA
320,Chase,CA,80.08,scattered clouds,50.8165,-119.6857,Chase Country Inn Motel
322,Inirida,CO,83.52,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
326,Itoman,JP,84.22,mist,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
332,Bubaque,GW,80.53,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
333,Easton,US,88.09,few clouds,40.6884,-75.2207,Grand Eastonian Hotel & Suites
336,Puerto Leguizamo,CO,80.91,overcast clouds,-0.1934,-74.7819,la casona de juancho
